"product","brand","category"
"global financial planners summit","1 finance pvt ltd","events-conferences/seminars"
"1 ishwar katha","1 ishwar katha","astrologers"
"1 medi hub","1 medi hub","hospital/clinics"
"1 rupee clinic","1 rupee clinic","hospital/clinics"
"10 downing street (vjd)","10 downing street (vjd)","restaurants/lodges"
"youtube.com/100 hours tv","100 hours tv","ecom-media/entertainment/social media"
"101 acres real estate & infra developers","101 acres real estate & infra developers pvt ltd","properties/real estates"
"101 acres real estate infra developers","101 acres real estate infra developers","properties/real estates"
"hip hop homeland","101 india","events-entertainment"
"the war with grandpa","101 studios/brookdale studios","film trailor"
"123 home paints","123 home paints pvt ltd","prof serv-others"
"akhanda 2","14 reels plus llp","film trailor"
"1 minute express hair colour","18 herbs organic labs pvt ltd","hair dyes"
"1947 indian restaurant (oman)","1947 indian restaurant (oman)","restaurants/lodges"
"1947 restaurant","1947 restaurant","restaurants/lodges"
"1mg.com","1mg technologies pvt ltd","ecom-pharma/healthcare"
"vibe on hip hop","1x news","events-others"
"1x news","1x news","ecom-media/entertainment/social media"
"melbat","1x news","ecom-media/entertainment/social media"
"1xbat","1xbatsporting.com","ecom-media/entertainment/social media"
"1xbet","1xbet","ecom-gaming"
"engi expo (2 way advertising)","2 way advertising","events-industrial/b2b"
"2+5 mudde jan andolan","2+5 mudde jan andolan","social advertisements-ngos"
"2.0 skin & laser clinic","2.0 skin & laser clinic","hospital/clinics"
"20 20 optical store","20 20 optical store","retail outlets-optical"
"ebaba ent","2020 ebaba entertainment inc","ecom-media/entertainment/social media"
"2020matrimony.com","2020matrimony.com","ecom-matrimonials"
"kingdom of the planet of the apes","20th century fox","film trailor"
"avatar the way of water","20th century fox","film trailor"
"avatar fire and ash","20th century fox","film trailor"
"underwater","20th century fox","film trailor"
"free guy","20th century fox","film trailor"
"misbehaviour","20th century studio/walt disney studio motion pict","film trailor"
"predator badlands","20th century studios","film trailor"
"alien romulus","20th century studios","film trailor"
"the amateur","20th century studios","film trailor"
"21 herbs ganesh puja patri","21 herbs","puja material"
"21st century fertility centre","21st century hospital pvt ltd","hospitals/clinics-infertility"
"24 alternative astro","24 alternative astro","astrologers"
"kannappa","24 frames factory/ava entertainment","film trailor"
"shreemati kinnar fashion show","24 time news & real voice foundation","events-media"
"bhakti world app","2b radio broadcasting pvt ltd","ecom-media/entertainment/social media"
"ye mard bechara","2idiot films production house ltd","film trailor"
"2k collection","2k collection","retail outlets-clothing/textiles/fashion"
"wwe2k24 nightmare family pack","2k sports","toys indoor games"
"wwe2k24 soundtrack","2k sports","toys indoor games"
"wwe 2k25","2k sports","toys indoor games"
"wwe 2k24","2k sports","toys indoor games"
"wwe 2k23","2k sports","toys indoor games"
"wwe 2k22","2k sports","toys indoor games"
"2nd innings marriage bureau","2nd innings marriage bureau","marriage bureaus"
"simply cheese sauce","2s dairy deli products pvt ltd","sauce/ketchup"
"3 stars kera swad coconut oil","3 star creations","edible oil"
"3 steps aviation-vc","3 steps aviation","educ-vocational training inst"
"33 herbals karela jamun juice","33 herbals","otc products range"
"33 herbals","33 herbals","otc products range"
"360 financials","360 financials","prof serv-financial services"
"360 one prime-ncd","360 one prime ltd","bonds"
"369 records","369 records","corporate/brand image"
"3d bear ar app","3d bear inc","educ-ecom-education"
"3d incise ppe mask","3d incise india","surgical goods/equipments"
"3dselfiy.com","3dselfiy.com","prof serv-others"
"wasca 3g aqua","3g aqua ltd","water purifiers/filters"
"club fm harish sivaramakrishnan unplugged","3g digital world","events-retail"
"sa re ga ma pa keralam 2 live in calicut","3g digital world","events-entertainment"
"madhumayamay paadam (my g)","3g digital world","events-retail"
"my g adichu keri vaa","3g digital world","events-retail"
"janam musik india","3g digital world","events-retail"
"cb-my g-aaraattu","3g digital world","retail outlets-electronics/durables"
"my g/my g future","3g digital world","retail outlets-electronics/durables"
"my g future","3g digital world","retail outlets-electronics/durables"
"my g cultr","3g digital world","events-retail"
"my g care","3g digital world","prof serv-others"
"my g","3g digital world","retail outlets-electronics/durables"
"mobtexting","3m digital networks pvt ltd","sms services"
"scotch brite silver sparks","3m india ltd","household products"
"scotch brite scrub sponge","3m india ltd","household products"
"scotch brite super strong","3m india ltd","household products"
"saaral gulkand with honey","3n health foods pvt ltd","otc products range"
"saaral amla with honey","3n health foods pvt ltd","food products range"
"practically app","3rdflix visual effects pvt ltd","educ-ecom-education"
"3v sevia","3v tasty foods pvt ltd","vermicillies"
"4 plus car shampoo","4 plus car shampoo","auto-other auto prod&serv"
"4 sight news","4 sight news","ecom-media/entertainment/social media"
"4 square infra developers","4 square infra developers","properties/real estates"
"4b serve","4b serve org","associations/social/cultural org"
"4kids toys","4kids","toys indoor games"
"shankhnad the new beginning","4seasons hospitals and research center pvt ltd","events-health/fitness"
"varungala super star","4v entertainment","events-entertainment"
"5elements windows and doors","5elements windows and doors","doors"
"5k food care","5k food care","food products range"
"5k clg of vocational training centre-vc","5k network","educ-vocational training inst"
"5k network car care","5k network","auto-other auto prod&serv"
"5paisa.com","5paisa capital ltd","ecom-financial services"
"6 yards (vjd)","6 yards (vjd)","retail outlets-clothing/textiles/fashion"
"all india 7 block national kho kho championship","7 block kho kho association of maharashtra","events-sports"
"7 heven departmental store (guw)","7 heven departmental store (guw)","retail outlets-departmental stores"
"7 miles per second","7 miles per second","prof serv-advertising agencies"
"7-springs","7-springs","restaurants/lodges"
"india bike week (70 event)","70 event media group","events-auto"
"tamilnadu now","777 media forests pvt ltd","ecom-media/entertainment/social media"
"snake cave","777 pictures","film trailor"
"yelukoti bhakti bhandara book","7cr bhakti","ecom-other services"
"7d theatre (guw)","7d entertainment zone (guw)","ent zones-theatres"
"7 hills amaravati herbal cool oil","7hills herbal products","hair oils"
"7s water park","7s water park","ent zones-amusement parks"
"7th heaven","7th heaven","retail outlets-juice/bakery shops/icecrm"
"8 boulevard cafe restaurant","8 boulevard cafe restaurant","restaurants/lodges"
"8poure","8poure","ecom-online shopping"
"9 eleven (rpr)","9 eleven (rpr)","retail outlets-departmental stores"
"9 kadhai","9 kadhai","restaurants/lodges"
"9 yards","9 yards","retail outlets-clothing/textiles/fashion"
"pharm easy","91streets media tech pvt ltd","ecom-pharma/healthcare"
"covid-free india initiative","91streets media tech pvt ltd/tv today network ltd","social advertisements-ngos"
"jodhpur park utsav","95polli associations","events-entertainment"
"99 market","99 market","retail outlets-departmental stores"
"99 km coffee magic","99km coffee magic","restaurants/lodges"
"shoppi9","9vn communication pvt ltd","ecom-food/grocery"
"social message-9xm network","9x media pvt ltd","social advertisements-ngos"
"youtube.com/9xm","9x media pvt ltd","ecom-media/entertainment/social media"
"spotdiale.com","9x media pvt ltd","ecom-media/entertainment/social media"
"9xo deaf punk","9x media pvt ltd","events-entertainment"
"tashan nites","9x media pvt ltd","events-entertainment"
"spotlampe","9x media pvt ltd","ecom-media/entertainment/social media"
"9xm nites","9x media pvt ltd","events-media"
"pranaplus","a & j health care","otc products range"
"aac ghee","a arunachalam & co","ghee"
"planet marathi","a b company india","ecom-media/entertainment/social media"
"a d b masala","a d b masala products (opc) pvt ltd","spices"
"adt saral range","a d textile","readymade garments"
"a j associates (hyd)","a j associates (hyd)","prof serv-others"
"a j hospital & research centre","a j hospital & research centre","hospital/clinics"
"snk pan masala","a j sugandhi pvt ltd","pan masala /zarda /gutkha"
"muktodhara","a k a chemicals pvt ltd","otc products range"
"a k educational consultants (pun)","a k educational consultants (pun)","prof serv-educ/immigration consultants"
"a k infra (sambhajinagar)","a k infra (sambhajinagar)","properties/real estates"
"a k mobiles","a k mobiles","retail outlets-electronics/durables"
"a k pandey & brothers","a k pandey & brothers","retail outlets-industrial/b2b"
"kinwan tea","a k small growers mpcs ltd","tea"
"a k thanga maligai","a k thanga maligai","retail outlets-jewellers"
"a k travels (dasannapeta)","a k travels (dasannapeta)","travel & tourism"
"blaack forest","a karthika marts","retail outlets-juice/bakery shops/icecrm"
"desert rose tourism llc","a light tower group of company","travel & tourism"
"a m digital studio","a m digital studio","studio/processing"
"a mohamed ali rice mundy","a mohamed ali rice mundy","retail outlets-food"
"a n p nair memorial educational trust-ml","a n p nair memorial educational trust","educ-multiple courses"
"ret varmora range (a n trading company)","a n trading company","ret tiles & floorings"
"a narayanaswamy abhimanigala balaga","a narayanaswamy abhimanigala balaga","associations/social/cultural org"
"a o smith proplanet water purifier","a o smith india water products pvt ltd","water purifiers/filters"
"a one plastic products","a one plastic industries pvt ltd","household products"
"a p gramina vikas bank","a p gramina vikas bank","banking-services & products"
"a p narmada law clg-ot","a p narmada law clg","educ-other courses"
"rd wall putty","a r aggregates pvt ltd","protective coatings"
"a r dance academy-vc","a r dance academy","educ-vocational training inst"
"a r enterprise (guw)","a r enterprise (guw)","corporate/brand image"
"a r fitness","a r fitness","fitness equipments/clinics"
"ashvira crystal clear lens","a r industries","eyewear-lenses"
"a r mall (chennai)","a r mall pvt ltd","retail outlets-departmental stores"
"a s agri and aqua","a s agri and aqua llp","corporate/brand image"
"a s children hosp & critical care center","a s children hosp & critical care center","hospital/clinics"
"a s constructions (baramati)","a s constructions (baramati)","properties/real estates"
"a s desai infrastructure","a s desai infrastructure pvt ltd","properties/real estates"
"a s deshmukh construction","a s deshmukh construction","properties/real estates"
"accoy shirts","a s distributors (changanassery)","readymade garments"
"pratishtha mahotsavam","a s n c seva trust","events-others"
"a square hospital","a square hospital","hospital/clinics"
"a straight line production","a straight line production","production houses"
"a to z kissan fuel point","a to z kissan fuel point","retail outlets-automobiles"
"a to z mobile accessories and service","a to z mobile accessories and service","retail outlets-electronics/durables"
"a to z speciality hospital","a to z speciality hospital","hospital/clinics"
"a v multispeciality hospital (blr)","a v multispeciality hospital (blr)","hospital/clinics"
"avt gold cup tea","a v thomas & co ltd","tea"
"avt natures cup","a v thomas & co ltd","tea"
"avt premium tea","a v thomas & co ltd","tea"
"avt gold cup tea","a v thomas group","tea"
"avt premium tea","a v thomas group","tea"
"a venkateshkumar memorial trust","a venkateshkumar memorial trust","associations/social/cultural org"
"a vishveshwer","a vishveshwer","gen-personal greetings/announcements"
"a & a realti","a&a realti","properties/real estates"
"auspicious","a&a realti","properties/real estates"
"a&b event planners","a&b event planners","prof serv-others"
"a&e app","a&e television networks llc","ecom-media/entertainment/social media"
"a-z packers & movers (ctk)","a-z packers & movers (ctk)","transport-packers&movers"
"a1 future gold","a1 future gold","retail outlets-jewellers"
"a1 laundry","a1 laundry","retail outlets-others"
"elite iit","a1 tutoring pvt ltd","educ-coaching centre/comp exam"
"the smashing machine","a24 films","film trailor"
"minari","a24 films","film trailor"
"a2s masala","a2s agri crop india pvt ltd","spices"
"a2z finance solution","a2z finance solution","prof serv-financial services"
"a2z institute of heavy equipments-vc","a2z institute of heavy equipments","educ-vocational training inst"
